#ppt,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
 ,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
2087-07-01T00:00:00Z,727.3845825,688.9220581,638.5404053,632.838623,659.3989258,795.0587158,35178.85156,31250.75977,27922.85547,24904.70117,30447.5918,47592.27344,187.560257,176.7788391,167.1013336,157.8122406,174.4923859,218.1565399
2087-08-01T00:00:00Z,271.3450317,286.5384216,301.7332764,315.5195923,316.6998901,305.1459351,5720.038086,5086.251465,4018.917969,3007.099121,3013.836182,2897.865479,75.63093567,71.31796265,63.39493561,54.83702469,54.89841843,53.83182526
2087-09-01T00:00:00Z,402.1251526,441.0072632,503.1698914,529.2484741,511.8268433,425.4567566,11140.36523,10414.6709,12262.09766,13234.24121,13411.33301,3085.540039,105.5479279,102.0522919,110.7343597,115.0401688,115.807312,55.54763794
2087-10-01T00:00:00Z,25.31719398,22.58976555,20.31011772,19.14861488,21.44901848,33.69099426,162.2113342,116.373703,116.0634537,152.3967438,294.9772949,367.0532837,12.73622131,10.78766441,10.77327538,12.34490776,17.17490387,19.15863419
2087-11-01T00:00:00Z,30.70911789,29.94758415,32.09503937,35.28184509,38.21100235,41.73729324,143.394989,144.940506,176.740509,211.6492462,279.9465027,359.5517578,11.97476482,12.03912354,13.29437923,14.54817009,16.73160172,18.96184921
2087-12-01T00:00:00Z,120.5377808,125.0977936,132.5527496,136.6959839,138.8824768,148.9367981,440.8821106,366.2937012,300.6433105,221.8155823,210.4181671,231.6576691,20.99719238,19.13880157,17.33906937,14.89347458,14.50579739,15.22030449
2088-01-01T00:00:00Z,34.32492065,36.06505966,39.72079086,42.10393906,40.99973679,32.85224915,61.99356842,60.75828552,74.80918884,91.61953735,103.3260498,26.05822754,7.873599529,7.794760227,8.649230957,9.571809769,10.16494179,5.104725838
2088-02-01T00:00:00Z,26.62675667,21.12693787,20.52143478,23.71426964,31.86380768,49.69062805,703.019043,351.9551697,454.3699036,770.5050659,1545.806885,1856.926514,26.51450539,18.76046753,21.31595421,27.75797272,39.31674957,43.09207153
2088-03-01T00:00:00Z,55.3889389,47.84699631,44.42855072,46.65077591,57.47034454,87.44046783,1185.658081,810.9910889,924.0155029,1315.945313,2723.31665,3891.781738,34.43338776,28.47790527,30.39762306,36.27595901,52.18540573,62.38414764
2088-04-01T00:00:00Z,128.5440674,123.7192459,123.4728622,128.0015106,136.6210327,158.9387054,539.3155518,367.1088867,334.9089661,383.4055786,691.0014648,821.1871948,23.22316933,19.16008568,18.30051804,19.5807457,26.2869072,28.65636444
